timestamp;source;destination;port_source;port_destination;details;protocole;flags;length
11:42:29.644533;BP-Linux8.40682;mauves.univ-st-etienne.fr.https;;;Flags [.], ack 59257, win 1156, options [nop,nop,TS val 102923481 ecr 172356752], length 0;Unknown;.;0
11:42:29.644540;mauves.univ-st-etienne.fr.https;BP-Linux8.40682;;;Flags [.], seq 59257:60705, ack 1322, win 252, options [nop,nop,TS val 172356752 ecr 102923480], length 1448;Unknown;.;1448
11:42:29.644543;BP-Linux8.40682;mauves.univ-st-etienne.fr.https;;;Flags [.], ack 60705, win 1179, options [nop,nop,TS val 102923481 ecr 172356752], length 0;Unknown;.;0
11:42:29.644544;mauves.univ-st-etienne.fr.https;BP-Linux8.40682;;;Flags [.], seq 60705:62153, ack 1322, win 252, options [nop,nop,TS val 172356752 ecr 102923480], length 1448;Unknown;.;1448
11:42:29.644547;BP-Linux8.40682;mauves.univ-st-etienne.fr.https;;;Flags [.], ack 62153, win 1201, options [nop,nop,TS val 102923481 ecr 172356752], length 0;Unknown;.;0
11:42:29.644553;mauves.univ-st-etienne.fr.https;BP-Linux8.40682;;;Flags [.], seq 62153:63601, ack 1322, win 252, options [nop,nop,TS val 172356752 ecr 102923480], length 1448;Unknown;.;1448
11:42:29.644556;BP-Linux8.40682;mauves.univ-st-etienne.fr.https;;;Flags [.], ack 63601, win 1224, options [nop,nop,TS val 102923481 ecr 172356752], length 0;Unknown;.;0
11:42:29.644557;mauves.univ-st-etienne.fr.https;BP-Linux8.40682;;;Flags [.], seq 63601:65049, ack 1322, win 252, options [nop,nop,TS val 172356752 ecr 102923480], length 1448;Unknown;.;1448
11:42:29.644560;BP-Linux8.40682;mauves.univ-st-etienne.fr.https;;;Flags [.], ack 65049, win 1247, options [nop,nop,TS val 102923481 ecr 172356752], length 0;Unknown;.;0
11:42:29.644567;mauves.univ-st-etienne.fr.https;BP-Linux8.40682;;;Flags [P.], seq 65049:65534, ack 1322, win 252, options [nop,nop,TS val 172356752 ecr 102923480], length 485;Unknown;P.;485
11:42:29.644570;BP-Linux8.40682;mauves.univ-st-etienne.fr.https;;;Flags [.], ack 65534, win 1251, options [nop,nop,TS val 102923481 ecr 172356752], length 0;Unknown;.;0
11:42:29.644571;mauves.univ-st-etienne.fr.https;BP-Linux8.40682;;;Flags [.], seq 65534:66982, ack 1322, win 252, options [nop,nop,TS val 172356752 ecr 102923480], length 1448;Unknown;.;1448
11:42:29.644573;BP-Linux8.40682;mauves.univ-st-etienne.fr.https;;;Flags [.], ack 66982, win 1244, options [nop,nop,TS val 102923481 ecr 172356752], length 0;Unknown;.;0
11:42:29.644580;mauves.univ-st-etienne.fr.https;BP-Linux8.40682;;;Flags [.], seq 66982:68430, ack 1322, win 252, options [nop,nop,TS val 172356752 ecr 102923480], length 1448;Unknown;.;1448
